2012-06,Metropolitan Police,00BEGH,108,11,22,8,16,12,5,3,10,15,1,5
2012-06,Metropolitan Police,00BEGJ,287,10,96,20,7,52,7,15,13,51,10,6
2012-06,Metropolitan Police,00BEGK,160,22,45,10,9,19,6,2,12,28,4,3
2012-06,Metropolitan Police,00BEGD,223,17,72,21,7,35,7,6,6,35,9,8
2012-06,Metropolitan Police,00BEGE,392,23,110,18,13,29,7,5,9,158,8,12
2012-06,Metropolitan Police,00BEGF,218,15,57,21,6,31,8,3,8,60,5,4
2012-06,Metropolitan Police,00BEGG,113,12,36,3,14,8,1,0,8,20,2,9
2012-06,Metropolitan Police,00BKGD,103,3,52,0,6,10,3,2,3,17,7,0
2012-06,Metropolitan Police,00BEGC,158,15,45,10,9,19,8,1,14,26,5,6
2012-06,Metropolitan Police,00BKGE,157,9,84,0,7,18,1,0,4,17,14,3
2012-06,Metropolitan Police,00BEGX,140,17,60,7,11,10,2,1,7,20,0,5
2012-06,Metropolitan Police,00BEGY,326,25,91,19,43,34,12,17,16,47,13,9
2012-06,Metropolitan Police,00BEGZ,149,21,37,17,12,11,0,2,21,19,6,3
2012-06,Metropolitan Police,00BEGT,157,16,56,5,9,18,4,5,6,28,6,4
2012-06,Metropolitan Police,00BEGU,174,15,67,8,5,21,4,7,13,20,8,6
2012-06,Metropolitan Police,00BJGL,196,20,77,1,12,25,16,1,11,14,5,14
2012-06,Metropolitan Police,00BEGW,155,7,71,19,8,23,2,2,5,12,2,4
2012-06,Metropolitan Police,00BEGP,177,17,49,9,20,32,6,0,6,20,10,8
2012-06,Metropolitan Police,00BEGQ,169,5,38,12,19,26,9,1,15,20,15,9
2012-06,Metropolitan Police,00BEGR,98,8,27,4,13,12,7,1,9,11,4,2
2012-06,Metropolitan Police,00BEGS,241,10,61,12,14,22,6,8,4,84,12,8
2012-06,Metropolitan Police,00BKGU,163,10,69,5,5,20,3,1,24,13,6,7
2012-06,Metropolitan Police,00BKGA,84,8,25,7,11,10,4,0,5,9,0,5
2012-06,Metropolitan Police,00BDFW,73,7,25,0,12,5,1,0,5,12,3,3
2012-06,Metropolitan Police,00BDFZ,93,12,30,2,5,12,3,4,5,16,1,3
2012-06,Metropolitan Police,00BDFX,55,12,9,1,3,2,1,5,5,10,2,5
2012-06,Metropolitan Police,00BDFY,55,3,31,0,4,6,0,0,3,5,0,3
2012-06,Metropolitan Police,00BCGT,192,7,71,7,12,36,4,6,5,25,10,9
2012-06,Metropolitan Police,00BCGU,111,19,23,3,35,8,0,0,4,5,5,9
2012-06,Metropolitan Police,00BCGR,169,13,54,2,12,34,4,4,9,15,6,16
2012-06,Metropolitan Police,00BCGS,99,12,30,4,18,5,2,1,7,16,0,4
2012-06,Metropolitan Police,00BCGP,120,12,48,4,11,13,0,1,6,9,5,11
2012-06,Metropolitan Police,00BCGQ,85,9,25,1,13,10,1,2,4,11,4,5
